UID,WID,Understand,attempt
4,0,4,4
4,4,4,2
5,0,4,1
5,0,4,2
5,1,4,1
5,2,4,1
5,4,4,1
7,4,4,1
20250001,0,2,2
20250001,0,4,3
20250001,4,4,1
20250001,5,4,1
20250001,8,4,1
20250001,9,4,1
20250001,10,4,1
20250001,11,4,1
20250001,18,4,1
20250001,19,2,1
20250001,41,4,1
20250001,310,4,1
20250001,344,4,1
20250001,350,4,1
20250001,356,4,1
20250001,357,2,1
20250001,358,4,1
20250001,376,4,1
20250001,381,4,1
99999998,0,2,3
99999998,0,4,5
99999998,0,4,6
99999998,0,4,7
99999998,4,4,1
99999998,4,4,4
99999998,5,4,1
99999998,5,2,6
99999998,12,4,2
99999998,353,4,1
99999998,361,4,1
99999999,18,4,1
99999999,19,2,1
99999999,41,4,1
99999999,310,4,2
99999999,344,4,1
99999999,350,4,1
99999999,356,4,1
99999999,357,4,1
99999999,358,4,1
99999999,376,4,1
99999999,381,4,2
